,Distributed Energy_2050_Export Capacity (MW),Distributed Energy_2050_Import Capacity (MW),Global Ambition_2050_Export Capacity (MW),Global Ambition_2050_Import Capacity (MW),,,,,
AL00-GR00,400,400,400,400,,400,-400,400,-400
AL00-GR00 Concept 2,500,500,,0,,500,-500,,
AL00-ME00,350,350,350,350,,350,-350,350,-350
AL00-ME00 Concept 1,500,500,500,500,,500,-500,500,-500
AL00-ME00 Concept 2,500,500,,0,,500,-500,,
AL00-ME00 Concept 3,500,500,500,500,,500,-500,500,-500
AL00-ME00 Concept 4,500,500,,0,,500,-500,,
AL00-ME00 Virtual 1,500,500,,0,,500,-500,,
AL00-MK00,500,500,500,500,,500,-500,500,-500
AL00-RS00,500,500,500,500,,500,-500,500,-500
AT00-CH00,1200,1200,1200,1200,,1200,-1200,1200,-1200
AT00-CZ00,900,900,900,900,,900,-900,900,-900
AT00-CZ00 Concept 1,500,500,500,500,,500,-500,500,-500
AT00-CZ00 Concept 2,500,500,,0,,500,-500,,
AT00-CZ00 Virtual 1,500,500,,0,,500,-500,,
AT00-CZ00 Virtual 2,500,500,,0,,500,-500,,
AT00-DE00,5400,5400,5400,5400,,5400,-5400,5400,-5400
AT00-DE00 Real 1,1500,1500,1500,1500,,1500,-1500,1500,-1500
AT00-DE00 Real 2,600,600,600,600,,600,-600,600,-600
AT00-DE00 Real 3,1000,1000,1000,1000,,1000,-1000,1000,-1000
AT00-HU00,800,800,800,800,,800,-800,800,-800
AT00-IT00,800,650,800,650,,800,-650,800,-650
AT00-IT00 Real 1,500,500,500,500,,500,-500,500,-500
AT00-IT00 Real 2,150,150,150,150,,150,-150,150,-150
AT00-SI00,950,950,950,950,,950,-950,950,-950
BA00-HR00,750,700,750,700,,750,-700,750,-700
BA00-ME00,800,750,800,750,,800,-750,800,-750
BA00-ME00 Concept 1,500,500,500,500,,500,-500,500,-500
BA00-ME00 Concept 2,500,500,,0,,500,-500,,
BA00-ME00 Virtual 1,500,500,,0,,500,-500,,
BA00-ME00 Virtual 2,500,500,,0,,500,-500,,
BA00-RS00,530,510,530,510,,530,-510,530,-510
BA00-RS00 Concept 1,500,500,,0,,500,-500,,
BA00-RS00 Concept 2,500,500,,0,,500,-500,,
BA00-RS00 Real 1,1130,710,,0,,1130,-710,,
BA00-RS00 Real 2,1180,490,1180,490,,1180,-490,1180,-490
BA00-RS00 Virtual 1,500,500,,0,,500,-500,,
BE00-DE00,1000,1000,1000,1000,,1000,-1000,1000,-1000
BE00-FR00,2800,4300,2800,4300,,2800,-4300,2800,-4300
BE00-FR00 Concept 1,1000,1000,1000,1000,,1000,-1000,1000,-1000
BE00-LUB1,380,0,380,0,,380,,380,
BE00-LUG1,300,180,300,180,,300,-180,300,-180
BE00-NL00,2400,3400,2400,3400,,2400,-3400,2400,-3400
BE00-NL00 Real 1,1000,1000,1000,1000,,1000,-1000,1000,-1000
BE00-UK00,1000,1000,1000,1000,,1000,-1000,1000,-1000
BG00-GR00,1700,1400,1700,1400,,1700,-1400,1700,-1400
BG00-MK00,500,400,500,400,,500,-400,500,-400
BG00-RO00,1500,1400,1500,1400,,1500,-1400,1500,-1400
BG00-RS00,320,270,320,270,,320,-270,320,-270
BG00-RS00 Real 1,490,270,490,270,,490,-270,490,-270
BG00-TR00,900,500,900,500,,900,-500,900,-500
BG00-TR00 Concept 1,500,500,500,500,,500,-500,500,-500
BG00-TR00 Concept 2,500,500,500,500,,500,-500,500,-500
BG00-TR00 Real 1,1100,700,1100,700,,1100,-700,1100,-700
BG00-TR00 Virtual 1,500,500,500,500,,500,-500,500,-500
BG00-TR00 Virtual 2,500,500,500,500,,500,-500,500,-500
CH00-DE00,4200,3000,4200,3000,,4200,-3000,4200,-3000
CH00-FR00,1300,3700,1300,3700,,1300,-3700,1300,-3700
CH00-FR00 Concept 1,1000,1000,1000,1000,,1000,-1000,1000,-1000
CH00-IT00,3750,1700,3750,1700,,3750,-1700,3750,-1700
CY00-GR03 Real 1,1000,1000,1000,1000,,1000,-1000,1000,-1000
CZ00-DE00,2100,1500,2100,1500,,2100,-1500,2100,-1500
CZ00-DE00 Real 1,500,500,,0,,500,-500,,
CZ00-PL00 Concept 1,500,500,500,500,,500,-500,500,-500
CZ00-PL00 Concept 2,500,500,500,500,,500,-500,500,-500
CZ00-PL00 Concept 3,500,500,,0,,500,-500,,
CZ00-PL00 Virtual 1,500,500,,0,,500,-500,,
CZ00-PLI0,600,0,600,0,,600,,600,
CZ00-SK00,1800,1100,1800,1100,,1800,-1100,1800,-1100
CZ00-SK00 Real 1,500,500,500,500,,500,-500,500,-500
DE00-CH00 Real 2,600,100,600,100,,600,-100,600,-100
DE00-DEKF,400,400,400,400,,400,-400,400,-400
DE00-DKE1,600,585,600,585,,600,-585,600,-585
DE00-DKE1 Concept 1,500,500,,0,,500,-500,,
DE00-DKE1 Concept 2,500,500,,0,,500,-500,,
DE00-DKE1 Real 1,600,600,600,600,,600,-600,600,-600
DE00-DKW1,3500,3500,3500,3500,,3500,-3500,3500,-3500
DE00-FR00,3300,3300,3300,3300,,3300,-3300,3300,-3300
DE00-LUG1,1000,1000,1000,1000,,1000,-1000,1000,-1000
DE00-LUV1,1300,1300,1300,1300,,1300,-1300,1300,-1300
DE00-NL00,5000,5000,5000,5000,,5000,-5000,5000,-5000
DE00-NOS0,1400,1400,1400,1400,,1400,-1400,1400,-1400
DE00-PL00 Concept 1,500,500,500,500,,500,-500,500,-500
DE00-PL00 Concept 2,500,500,500,500,,500,-500,500,-500
DE00-PL00 Concept 3,500,500,500,500,,500,-500,500,-500
DE00-PLI0,2000,0,2000,0,,2000,,2000,
DE00-SE04,615,615,615,615,,615,-615,615,-615
DE00-SE04 Concept 1,500,500,,0,,500,-500,,
DE00-SE04 Concept 2,500,500,,0,,500,-500,,
DE00-SE04 Concept 3,500,500,,0,,500,-500,,
DE00-SE04 Real 1,700,700,700,700,,700,-700,700,-700
DE00-SE04 Real 2,700,700,700,700,,700,-700,700,-700
DEKF-DKKF,400,400,400,400,,400,-400,400,-400
DKE1-DKKF,400,600,400,600,,400,-600,400,-600
DKE1-DKW1,600,590,600,590,,600,-590,600,-590
DKE1-PL00 Real 1,600,600,600,600,,600,-600,600,-600
DKE1-SE04,1700,1300,1700,1300,,1700,-1300,1700,-1300
DKE1-SE04 Concept 1,500,500,500,500,,500,-500,500,-500
DKE1-SE04 Concept 2,1000,1000,1000,1000,,1000,-1000,1000,-1000
DKE1-SE04 Virtual 2,1000,1000,,0,,1000,-1000,,
DKW1-NL00,700,700,700,700,,700,-700,700,-700
DKW1-NOS0,1640,1640,1640,1640,,1640,-1640,1640,-1640
DKW1-SE03,715,715,715,715,,715,-715,715,-715
DKW1-SE03 Concept 1,500,500,,0,,500,-500,,
DKW1-SE03 Concept 2,1000,1000,,0,,1000,-1000,,
DKW1-UK00,1400,1400,1400,1400,,1400,-1400,1400,-1400
DKW1-UK00 Real 1,1400,1400,,0,,1400,-1400,,
EE00-FI00,1016,1000,1016,1000,,1016,-1000,1016,-1000
EE00-LV00,1100,900,1100,900,,1100,-900,1100,-900
ES00-FR00,5000,5000,5000,5000,,5000,-5000,5000,-5000
ES00-FR00 Concept 1,1500,1500,,0,,1500,-1500,,
ES00-FR00 Concept 2,1500,1500,,0,,1500,-1500,,
ES00-FR00 Real 1,1500,1500,1500,1500,,1500,-1500,1500,-1500
ES00-FR00 Real 2,1500,1500,1500,1500,,1500,-1500,1500,-1500
ES00-PT00,4200,3500,4200,3500,,4200,-3500,4200,-3500
ES00-PT00 Concept 1,500,500,500,500,,500,-500,500,-500
ES00-PT00 Concept 2,500,500,,0,,500,-500,,
ES00-PT00 Concept 3,1000,1000,,0,,1000,-1000,,
FI00-EE00 Concept 1,500,500,,0,,500,-500,,
FI00-EE00 Concept 2,1000,1000,1000,1000,,1000,-1000,1000,-1000
FI00-NON1 Concept 2,1000,1000,,0,,1000,-1000,,
FI00-SE01,1100,1200,1100,1200,,1100,-1200,1100,-1200
FI00-SE01 Real 1,900,800,900,800,,900,-800,900,-800
FI00-SE02 Concept 1,500,500,500,500,,500,-500,500,-500
FI00-SE02 Virtual 1,500,500,500,500,,500,-500,500,-500
FI00-SE03,1200,1200,1200,1200,,1200,-1200,1200,-1200
FI00-SE03 Concept 2,1000,1000,,0,,1000,-1000,,
FR00-BE00 Real 1,1000,1000,1000,1000,,1000,-1000,1000,-1000
FR00-CH00 Real 1,500,500,500,500,,500,-500,500,-500
FR00-CH00 Real 2,1000,100,1000,100,,1000,-100,1000,-100
FR00-DE00 Real 1,1500,1500,1500,1500,,1500,-1500,1500,-1500
FR00-IT00,4100,2000,4100,2000,,4100,-2000,4100,-2000
FR00-LUF1,380,0,380,0,,380,,380,
FR00-UK00,4000,4000,4000,4000,,4000,-4000,4000,-4000
FR00-UK00 Real 1,2000,2000,,0,,2000,-2000,,
FR00-UK00 Real 2,1400,1400,1400,1400,,1400,-1400,1400,-1400
FR15-IT00,70,130,70,130,,70,-130,70,-130
GR00-GR03,800,800,800,800,,800,-800,800,-800
GR00-IT00,500,500,500,500,,500,-500,500,-500
GR00-IT00 Concept 2,500,500,,0,,500,-500,,
GR00-IT00 Virtual 2,500,500,,0,,500,-500,,
GR00-MA00 Real 1,2000,2000,2000,2000,,2000,-2000,2000,-2000
GR00-MK00,1100,850,1100,850,,1100,-850,1100,-850
GR00-MK00 Concept 1,500,500,500,500,,500,-500,500,-500
GR00-MK00 Real 1,500,500,500,500,,500,-500,500,-500
GR00-TR00,660,580,660,580,,660,-580,660,-580
GR00-TR00 Concept 1,500,500,500,500,,500,-500,500,-500
GR00-TR00 Concept 2,500,500,500,500,,500,-500,500,-500
GR00-TR00 Real 1,600,600,600,600,,600,-600,600,-600
GR00-TR00 Virtual 1,500,500,500,500,,500,-500,500,-500
GR00-TR00 Virtual 2,500,500,500,500,,500,-500,500,-500
GR03-GR00 Real 1,2000,2000,2000,2000,,2000,-2000,2000,-2000
HR00-HU00,1700,1700,1700,1700,,1700,-1700,1700,-1700
HR00-RS00,480,500,480,500,,480,-500,480,-500
HR00-RS00 Real 1,600,600,600,600,,600,-600,600,-600
HR00-SI00,2000,2000,2000,2000,,2000,-2000,2000,-2000
HR00-SI00 Concept 1,1000,1000,,0,,1000,-1000,,
HU00-RO00,1000,1100,1000,1100,,1000,-1100,1000,-1100
HU00-RO00 Real 1,500,500,,0,,500,-500,,
HU00-RS00,680,750,680,750,,680,-750,680,-750
HU00-RS00 Real 1,500,500,500,500,,500,-500,500,-500
HU00-SI00,1200,1200,1200,1200,,1200,-1200,1200,-1200
HU00-SK00,1800,2600,1800,2600,,1800,-2600,1800,-2600
HU00-SK00 Concept 1,500,500,,0,,500,-500,,
HU00-SK00 Concept 2,500,500,500,500,,500,-500,500,-500
HU00-SK00 Virtual 2,500,500,,0,,500,-500,,
HU00-UA01,450,650,450,650,,450,-650,450,-650
IE00-FR00 Real 1,700,700,,0,,700,-700,,
IE00-UK00,500,500,500,500,,500,-500,500,-500
IE00-UK00 Real 1,504,504,504,504,,504,-504,504,-504
IE00-UK00 Real 2,750,750,750,750,,750,-750,750,-750
IE00-UKNI,1250,1200,1250,1200,,1250,-1200,1250,-1200
IT00-AT00 Real 1,150,150,150,150,,150,-150,150,-150
IT00-CH00 Real 2,200,200,200,200,,200,-200,200,-200
IT00-IT00HER4 Expansion,1000,0,1000,0,,1000,,1000,
IT00-ME00,600,600,600,600,,600,-600,600,-600
IT00-ME00 Real 1,600,600,,0,,600,-600,,
IT00-MT00,200,200,200,200,,200,-200,200,-200
IT00-SI00,660,650,660,650,,660,-650,660,-650
IT00-SI00 Real 1,125,125,125,125,,125,-125,125,-125
IT00-SI00 Real 2,20,120,20,120,,20,-120,20,-120
IT00-SI00 Real 3,1000,1000,,0,,1000,-1000,,
LT00-LV00,950,950,950,950,,950,-950,950,-950
LT00-PL00,500,500,500,500,,500,-500,500,-500
LT00-PL00 Real 1,700,700,700,700,,700,-700,700,-700
LT00-SE04,700,700,700,700,,700,-700,700,-700
MA00-ES00,600,600,600,600,,600,-600,600,-600
ME00-RS00,580,550,580,550,,580,-550,580,-550
MK00-AL00 Concept 2,500,500,,0,,500,-500,,
MK00-AL00 Real 1,500,500,500,500,,500,-500,500,-500
MK00-AL00 Virtual 1,1000,1000,1000,1000,,1000,-1000,1000,-1000
MK00-RS00,450,540,450,540,,450,-540,450,-540
MK00-RS00 Concept 2,500,500,500,500,,500,-500,500,-500
MK00-RS00 Virtual 2,500,500,500,500,,500,-500,500,-500
NL00-NOS0,700,700,700,700,,700,-700,700,-700
NL00-UK00,1000,1000,1000,1000,,1000,-1000,1000,-1000
NL00-UK00 Real 1,2000,2000,2000,2000,,2000,-2000,2000,-2000
NOM1-NON1,1300,1300,1300,1300,,1300,-1300,1300,-1300
NOM1-NOS0,1400,1400,1400,1400,,1400,-1400,1400,-1400
NOM1-SE02,600,1000,600,1000,,600,-1000,600,-1000
NON1-SE01,700,600,700,600,,700,-600,700,-600
NON1-SE02,250,300,250,300,,250,-300,250,-300
NOS0-SE03,2145,2095,2145,2095,,2145,-2095,2145,-2095
NOS0-SE03 Concept 2,1000,1000,,0,,1000,-1000,,
NOS0-UK00 Real 1,1400,1400,1400,1400,,1400,-1400,1400,-1400
NOS0-UK00 Real 2,1400,1400,1400,1400,,1400,-1400,1400,-1400
PL00-PL00HER4 Expansion,5000,0,,0,,5000,,,
PL00-PLE0,3000,0,3000,0,,3000,,3000,
PL00-SE04,600,600,600,600,,600,-600,600,-600
PLE0-CZ00,800,0,800,0,,800,,800,
PLE0-DE00,3000,0,3000,0,,3000,,3000,
PLE0-SK00,990,0,990,0,,990,,990,
PLI0-PL00,2000,0,2000,0,,2000,,2000,
RO00-RS00,476,680,476,680,,476,-680,476,-680
RO00-RS00 Real 1,680,720,680,720,,680,-720,680,-720
RO00-RS00 Real 2,844,600,844,600,,844,-600,844,-600
RO00-UA01,150,150,150,150,,150,-150,150,-150
RU00-LV00,300,0,300,0,,300,,300,
RU00-NON1,50,0,50,0,,50,,50,
SE01-SE02,3300,3300,3300,3300,,3300,-3300,3300,-3300
SE02-SE03,8900,8900,8900,8900,,8900,-8900,8900,-8900
SE03-SE04,6200,2800,6200,2800,,6200,-2800,6200,-2800
SK00-PL00 Concept 1,500,500,,0,,500,-500,,
SK00-PL00 Concept 2,500,500,500,500,,500,-500,500,-500
SK00-PL00 Virtual 2,500,500,,0,,500,-500,,
SK00-PLI0,990,0,990,0,,990,,990,
SK00-UA01,650,650,650,650,,650,-650,650,-650
TN00-IT00,600,600,600,600,,600,-600,600,-600
UK00-FR00 Real 1,1000,1000,,0,,1000,-1000,,
UK00-NOS0,1400,1400,1400,1400,,1400,-1400,1400,-1400
UK00-UKNI,450,500,450,500,,450,-500,450,-500
UK00-UKNI Real 1,700,700,700,700,,700,-700,700,-700
AL00-RS00 Concept 1,,0,500,0,,,,,
AT00-HU00 Concept 1,,0,1000,0,,,,,
AT00-SI00 Real 1,,0,500,0,,,,,
CH00-DE00 Real 1,,0,600,0,,,,,
DE00-NL00 Real 1,,0,1000,0,,,,,
FR00-IT00 Concept 1,,0,1000,0,,,,,
HR00-RS00 Concept 1,,0,500,0,,,,,
IT00-CH00 Real 1,,0,1000,0,,,,,
SE03-LV00 Real 1,,0,500,0,,,,,
UK00-BE00 Real 1,,0,1400,0,,,,,
UK00-BE00 Real 2,,0,1400,0,,,,,
